"fw","t1","t2","S","n_species","n_basal","n_nut","masses","biomasses","period"
11,15,20,1,60,20,2,"1.0873;4.0786;6.9032;7.4411;8.0733;8.3477;9.508;18.4206;30.5538;48.2068;58.3359;63.7597;120.503;134.1877;185.9338;188.7692;264.7421;270.4845;306.7265;546.9334;100.8048;106.4484;110.8464;137.4727;180.041;204.1709;208.5952;233.1775;267.2301;390.0864;467.1773;482.6674;722.5302;958.1871;1011.7686;1076.1509;1080.8765;1797.1703;2145.5418;2568.0552;3210.7347;3231.3822;3426.2252;3815.6381;3843.7655;4200.0726;4517.8231;6585.03;7337.2748;9833.3645;9868.0816;9983.7728;10926.1714;14533.1218;23039.1122;25473.4625;50019.0589;64417.4397;79609.7204;97290.3348","2.7726;2.6859;2.9486;2.8848;2.4774;2.6068;2.4254;2.1474;2.6032;2.5384;2.0997;2.045;2.4753;2.4892;2.6962;2.3097;2.6753;2.5078;2.3819;2.9534;2.631;2.4737;2.4838;2.6622;2.828;2.6847;2.4;2.5629;2.6196;2.1632;2.9662;2.0132;2.1578;2.2515;2.3825;2.1036;2.7025;2.0031;2.8391;2.4838;2.9991;2.4438;2.761;2.2852;2.246;2.6581;2.4812;2.2124;2.0502;2.9729;2.9837;2.1392;2.0812;2.2671;2.7079;2.3547;2.7022;2.4227;2.9289;2.9092;2.6484;2.4069","C;N;C;C;D;C;N;D;D;N;N;D;C;D;C;C;C;C;N;N;C;D;D;D;C;D;D;C;C;D;C;C;N;D;D;N;N;N;D;N"
12,15,20,1,60,20,2,"1.0988;1.4463;2.2164;2.8458;3.0461;7.3293;8.3794;22.961;23.0541;23.7469;40.6906;42.6343;51.2979;58.2269;63.2516;81.6286;97.6748;195.4714;452.2982;751.2038;118.7505;127.7672;182.2995;217.9929;251.8088;255.3434;280.1423;362.0683;403.1937;405.6615;550.2064;615.8356;632.0168;926.1357;953.1916;1347.4295;1378.9995;1383.5744;1592.2976;1618.9899;1705.9253;2091.9928;2821.1567;3172.2175;6039.217;7005.1328;7853.8108;11053.1683;12782.2362;14168.7891;15715.2772;17973.3784;19876.1234;23357.1066;25321.004;27531.5656;34664.2435;64341.8716;71931.9627;77070.8315","2.3163;2.4853;2.8202;2.2684;2.1757;2.2535;2.0996;2.0526;2.5653;2.3479;2.2902;2.8294;2.1348;2.043;2.6171;2.1292;2.4724;2.9547;2.4824;2.6508;2.6517;2.765;2.2992;2.0114;2.0318;2.1515;2.5992;2.9745;2.7246;2.2591;2.5498;2.7938;2.4053;2.3038;2.8324;2.6889;2.5951;2.2578;2.5085;2.0684;2.1572;2.3146;2.3398;2.1803;2.8185;2.611;2.4799;2.2074;2.1217;2.7423;2.9691;2.5883;2.6304;2.7924;2.6799;2.7296;2.5968;2.5169;2.1688;2.4281;2.5324;2.2627","C;N;D;C;N;N;D;C;N;N;C;C;D;C;C;N;D;D;D;C;D;N;C;C;N;C;D;D;D;C;N;D;D;C;C;C;D;N;D;N"
13,15,20,1,60,20,2,"1.0413;1.4297;3.743;3.8288;4.8247;11.2918;21.3357;23.7236;52.5392;62.4962;70.931;74.9134;123.3487;166.8591;423.6225;436.2668;462.5188;518.805;671.2826;943.0577;156.0761;187.1921;207.0952;281.8087;300.8455;408.7772;491.9246;555.5636;870.4884;1240.3953;2122.8125;2160.0894;2271.7219;2662.7267;3364.7814;4313.766;6348.1386;6778.659;7646.5084;8404.6159;9164.0765;11583.4163;11719.3418;17223.4443;20689.7393;21003.1138;24163.8158;26025.5519;31724.2572;34458.2986;39524.3819;40243.9404;44175.8618;45126.8094;56897.1818;59111.6933;65143.406;67521.2662;69756.5363;97942.5789","2.7945;2.0424;2.5858;2.9737;2.6665;2.5518;2.7211;2.3034;2.8149;2.5168;2.9485;2.0947;2.7359;2.5104;2.8055;2.9567;2.6204;2.6464;2.4054;2.1954;2.3905;2.4309;2.8677;2.9402;2.1339;2.8796;2.1954;2.9585;2.8855;2.8203;2.5201;2.3701;2.7595;2.4122;2.309;2.1151;2.6413;2.1946;2.2884;2.1459;2.2974;2.5723;2.4347;2.4273;2.8674;2.4724;2.6468;2.5172;2.505;2.0184;2.1267;2.0868;2.9458;2.1063;2.3873;2.0704;2.4432;2.8571;2.1573;2.0364;2.2592;2.7035","C;N;N;C;C;C;N;N;D;N;D;C;N;C;N;C;C;D;C;N;C;N;N;C;D;C;N;D;N;D;N;D;C;C;C;N;D;C;C;C"
14,15,20,1,60,20,2,"1.6315;1.8968;2.0556;2.5219;2.9356;4.5295;5.0969;7.7484;8.4944;8.9862;14.2147;29.16;44.9722;91.7657;121.1344;142.6824;150.0812;552.3314;892.4843;941.6045;117.1037;117.9279;145.6738;164.4451;186.8311;312.8146;435.5629;635.3668;991.2227;1041.0218;1259.5025;1549.3987;1558.1917;1673.6623;2380.194;2386.6282;2864.1068;5079.1515;5605.8827;6958.9046;7928.0799;9051.1136;9871.7633;10750.1429;11346.239;12494.5952;14344.6672;16847.7923;16956.3045;20418.3682;22189.5674;23857.9384;24674.3047;25147.3454;28800.6942;30431.2008;35129.6757;37932.3674;38906.6021;61472.9118","2.5538;2.854;2.4461;2.6989;2.1348;2.5469;2.1026;2.9097;2.7428;2.6152;2.7663;2.6138;2.5635;2.965;2.1095;2.2487;2.5365;2.6936;2.8087;2.8964;2.244;2.5548;2.8017;2.557;2.137;2.3815;2.4388;2.6514;2.2098;2.9999;2.4436;2.3983;2.9783;2.4959;2.3843;2.6881;2.1755;2.9175;2.3088;2.9505;2.6384;2.2361;2.8508;2.8232;2.5904;2.912;2.883;2.2759;2.9283;2.7825;2.9731;2.298;2.9575;2.545;2.6546;2.4741;2.2931;2.4167;2.0685;2.6951;2.8271;2.6394","C;D;D;N;N;N;C;C;N;N;C;C;D;C;N;C;N;D;N;N;D;D;N;D;C;C;C;N;N;D;N;N;C;D;D;D;D;D;D;C"
15,15,20,1,60,20,2,"1.0496;2.1997;4.1675;5.1308;8.2862;12.1313;13.1525;20.0684;27.9894;47.3052;49.8103;54.9647;81.4879;94.8463;136.9332;379.3715;413.6548;823.2128;869.9758;967.8413;140.5439;186.6267;193.1941;222.9002;290.1373;383.8138;397.6695;478.5569;626.6644;644.8755;1121.8827;1389.4445;1926.4689;2378.282;3652.4937;4294.5661;4775.2058;4894.047;5308.852;8366.4413;9667.5624;10010.6437;11098.8762;11605.6478;11833.0141;11966.2763;17752.538;22348.8667;22537.7191;24575.0065;27910.2894;28176.6529;29537.4464;40647.3167;55087.6711;55915.3045;57029.3762;66211.9952;66828.5957;91990.9774","2.1439;2.7134;2.8931;2.7372;2.2206;2.6313;2.0563;2.7132;2.6122;2.302;2.3573;2.5083;2.5956;2.7105;2.5176;2.4225;2.3157;2.4093;2.6777;2.7652;2.7158;2.8312;2.3478;2.0803;2.2409;2.9852;2.0667;2.9711;2.3071;2.8048;2.1978;2.0551;2.338;2.2237;2.3001;2.0787;2.3568;2.3507;2.1086;2.0732;2.5043;2.7947;2.5783;2.4322;2.061;2.3871;2.4042;2.3174;2.6317;2.6511;2.2938;2.9046;2.5842;2.2165;2.7754;2.0992;2.8791;2.2723;2.5364;2.3603;2.5407;2.9856","D;N;N;N;N;N;D;D;N;D;C;C;C;D;N;D;D;C;N;N;C;C;C;D;D;C;N;C;C;C;C;D;N;D;N;D;C;C;N;D"
16,15,20,1,60,20,2,"1.3556;1.4772;1.5516;1.9541;3.2158;4.7886;5.1598;8.121;9.5486;10.3014;14.9496;25.1549;27.6312;41.0005;58.1877;72.4875;86.2647;117.6046;234.6665;765.5117;100.8482;110.0707;120.7581;150.7887;152.4395;186.8694;244.1252;269.7245;323.8331;395.4862;444.4328;461.6935;486.2821;494.1916;547.9155;716.5087;820.0182;1334.9282;1457.2734;1661.4534;1830.6462;1963.386;1981.1392;2246.878;2508.0979;2798.6882;5234.7054;25685.5455;27549.9095;27894.2889;30857.2288;32732.3494;43155.7118;56085.1408;65206.9637;66550.8076;68738.6705;77280.0794;84527.7388;91334.4643","2.7077;2.4156;2.6598;2.1;2.6237;2.3682;2.1561;2.9973;2.9746;2.8124;2.6596;2.4549;2.7289;2.7807;2.2469;2.4003;2.9947;2.2906;2.6994;2.6489;2.3991;2.7984;2.9775;2.3794;2.3135;2.5201;2.056;2.221;2.2413;2.1015;2.1296;2.9841;2.5247;2.9543;2.5375;2.3498;2.3786;2.3199;2.4535;2.6914;2.5084;2.3044;2.4953;2.7024;2.7998;2.1584;2.6509;2.1329;2.7146;2.5206;2.595;2.863;2.0282;2.6728;2.828;2.7089;2.9114;2.8459;2.3265;2.9475;2.5389;2.3544","D;D;C;C;N;C;C;D;C;D;N;C;C;D;N;N;N;D;D;N;D;C;C;C;N;N;N;D;C;D;C;C;D;C;N;C;N;N;D;N"
17,15,20,1,60,20,2,"1.0367;1.3536;2.7335;5.4853;6.8987;21.1241;25.4152;26.4853;27.2003;31.568;43.6212;43.6716;46.5201;103.5655;117.7796;142.9671;272.6576;648.3011;650.491;995.1338;133.1627;161.8746;226.6116;237.704;378.3478;390.9207;600.6722;609.813;817.6671;1086.1821;1211.0203;1296.1742;1580.2149;1902.7099;3154.5857;3398.145;4023.5896;4528.6477;4708.7704;5779.142;6510.4366;6550.4903;7602.0289;7674.3892;8846.1445;9620.9466;10735.9411;11925.0035;14381.7085;17191.0174;28029.7224;37344.9077;39170.3384;48537.4108;48799.5666;54800.6151;57642.9077;72102.6317;73163.5937;78026.3538","2.8669;2.6653;2.9028;2.3856;2.0497;2.6899;2.3873;2.8257;2.5671;2.4258;2.2072;2.649;2.7455;2.6924;2.0151;2.0231;2.9885;2.4695;2.1051;2.2737;2.7076;2.2176;2.7572;2.1315;2.1725;2.5138;2.3759;2.3683;2.991;2.878;2.228;2.5466;2.7657;2.4209;2.807;2.9599;2.2534;2.7748;2.6172;2.7719;2.1987;2.6882;2.9591;2.3318;2.1366;2.8179;2.5622;2.948;2.8251;2.378;2.9961;2.9304;2.8555;2.8446;2.3766;2.6675;2.5401;2.9303;2.7779;2.5298;2.4656;2.2635","C;D;D;N;N;N;N;C;D;D;N;N;C;C;N;N;N;C;N;N;D;C;D;C;D;N;N;D;N;N;N;C;N;D;C;N;C;N;C;C"
18,15,20,1,60,20,2,"1.9335;3.8443;6.1186;6.5836;8.3802;14.4502;18.4885;20.863;27.0104;27.0717;49.7789;51.4811;64.8002;220.0597;321.7922;439.3577;506.0775;678.7805;741.9418;933.7631;100.9179;146.0382;219.4727;287.2777;291.5882;295.0982;547.7245;616.4578;632.9315;819.313;1099.2258;1336.1146;1603.7088;1879.0108;2753.6631;2993.7732;3889.5451;4010.1719;4886.7047;5394.6696;6507.3464;7728.8961;7883.3782;8856.5682;11569.0948;12924.3269;13367.0769;16806.6973;20843.3892;21911.1311;29635.387;30547.4483;35125.3187;42776.3034;46487.4532;60090.087;63104.6271;84189.6823;94738.6429;98603.0876","2.739;2.8487;2.7489;2.7337;2.736;2.4834;2.2954;2.6286;2.7383;2.2033;2.5201;2.1045;2.8681;2.3589;2.3875;2.524;2.1743;2.9709;2.2867;2.6579;2.2461;2.386;2.443;2.2822;2.6975;2.9408;2.9982;2.6007;2.2473;2.4945;2.333;2.712;2.4495;2.7983;2.8523;2.2862;2.098;2.8172;2.4429;2.6607;2.0642;2.6626;2.942;2.5459;2.8482;2.9035;2.1552;2.3223;2.6074;2.2312;2.483;2.0275;2.0084;2.3647;2.005;2.5176;2.3147;2.8595;2.1792;2.6026;2.1024;2.4643","N;D;N;C;D;C;D;N;D;C;D;C;D;N;N;D;D;D;C;N;N;D;C;N;D;N;D;D;C;N;D;D;C;C;N;C;C;D;N;N"
19,15,20,1,60,20,2,"1.4136;2.9149;3.762;3.9663;5.7276;6.0761;6.3004;7.1394;7.1982;29.9009;37.5551;42.2635;78.835;111.2181;119.8821;262.2421;297.3156;480.7181;480.8517;667.6634;113.186;129.6041;166.375;199.3438;264.3213;264.9931;319.451;336.2163;349.0418;552.2955;619.5762;1515.1873;2562.8211;2947.0312;3504.0526;3687.8504;4711.5212;4874.3065;6334.6086;7868.9783;8046.8727;8307.002;8739.5017;12751.3397;13483.9703;19976.4886;21084.1838;29005.3493;32854.4021;35890.3328;36761.7122;37006.333;40821.2509;43934.8717;54147.6904;59590.6007;69588.4867;77754.0792;81480.7261;82819.6968","2.1559;2.4815;2.0753;2.1143;2.175;2.6252;2.1816;2.2602;2.7763;2.4512;2.5299;2.5921;2.8844;2.5136;2.2033;2.594;2.3406;2.7296;2.4571;2.9825;2.5401;2.577;2.7886;2.1629;2.7659;2.5293;2.7194;2.3605;2.6757;2.6624;2.0448;2.0634;2.1577;2.9232;2.0644;2.8361;2.5755;2.0338;2.4788;2.8475;2.7971;2.3741;2.982;2.8031;2.0324;2.8054;2.6129;2.0042;2.1149;2.4857;2.0362;2.3216;2.7317;2.8448;2.6634;2.0119;2.9824;2.9202;2.1502;2.8968;2.4004;2.7732","C;N;D;C;N;N;N;C;C;N;C;N;N;D;C;D;N;D;C;D;C;N;C;D;N;N;D;D;D;N;D;N;D;C;N;D;D;C;C;N"
20,15,20,1,60,20,2,"1.0885;1.3583;1.501;2.3436;3.1106;3.2266;3.8015;5.286;8.3414;10.1258;13.153;13.5535;14.9481;18.2379;26.2158;161.9464;367.3752;391.8914;428.5485;883.2489;111.9852;117.6668;121.1278;121.6655;136.242;150.9931;308.771;631.2514;641.2567;690.3547;766.3117;944.6109;1014.4493;1902.5203;2352.7737;2746.1383;3343.268;4239.6337;5774.9138;6051.4852;6140.8577;6486.8464;6680.6257;7606.3774;7895.6351;7896.7894;8063.1795;10071.2929;11404.8693;13737.8083;14065.4732;15079.4895;16517.4639;20664.0019;39124.8906;53708.2793;53829.8318;60390.3414;65809.3018;69787.9101","2.4099;2.4769;2.9117;2.9588;2.3362;2.2033;2.7413;2.2791;2.4814;2.6735;2.3418;2.932;2.0863;2.9154;2.0151;2.5386;2.9092;2.006;2.4706;2.6292;2.6131;2.01;2.7612;2.0116;2.6363;2.2224;2.1661;2.3373;2.3267;2.2658;2.9756;2.7535;2.9181;2.9853;2.1105;2.2522;2.2802;2.3082;2.9815;2.6816;2.4608;2.454;2.3525;2.1801;2.4401;2.5077;2.9874;2.428;2.9042;2.0851;2.9361;2.1528;2.0297;2.4093;2.0915;2.7562;2.4067;2.9937;2.931;2.6317;2.1579;2.893","N;N;N;D;D;N;C;D;N;N;D;D;D;D;N;D;D;D;N;D;N;C;D;D;N;C;C;N;C;C;D;D;N;C;N;C;N;N;D;C"
21,15,20,1,60,20,2,"1.695;1.7112;1.7451;3.974;5.2883;25.4585;44.4869;44.5988;46.3134;61.5769;76.3305;86.5423;95.5162;113.0078;114.7721;284.7465;378.2122;418.5595;685.3373;786.3633;100.2621;103.9417;124.0428;143.36;158.8765;165.9687;184.6708;198.3426;242.9053;269.8413;296.9655;559.2514;585.6946;623.4361;877.9036;1047.5186;1653.906;1741.329;2555.6292;3635.9988;3766.6863;4268.2048;5041.408;5207.2156;5370.7724;9189.5166;10022.0955;11343.636;17685.7959;19093.2157;20540.8332;25727.9052;34242.9566;48983.4859;52376.0358;56733.7319;69364.6064;93184.4188;97564.7602;98391.1875","2.0885;2.2638;2.0798;2.0588;2.827;2.0282;2.4521;2.6493;2.673;2.0514;2.2451;2.1523;2.7447;2.9358;2.6493;2.2319;2.0689;2.4218;2.8655;2.369;2.8919;2.4031;2.6978;2.7271;2.2913;2.025;2.7453;2.3202;2.5152;2.2227;2.0638;2.7865;2.1796;2.2696;2.413;2.3271;2.2154;2.2109;2.5298;2.0194;2.8522;2.5911;2.8359;2.5754;2.6817;2.814;2.0175;2.0677;2.3344;2.4672;2.4624;2.2762;2.5017;2.1755;2.1704;2.0898;2.6287;2.7047;2.8426;2.5124;2.4438;2.9144","C;D;D;D;D;D;N;D;C;C;C;C;D;N;D;D;C;D;N;D;D;D;C;N;C;N;D;D;N;D;C;N;D;N;N;C;D;N;N;C"
22,15,20,1,60,20,2,"1.0745;2.5888;4.1587;7.9241;8.5929;9.6259;10.3032;10.3507;10.5081;11.8069;30.2946;35.6281;37.6865;51.7906;130.2458;158.7281;209.0321;523.0573;707.7232;787.227;100.6095;110.3939;148.9647;179.0225;232.9345;274.6759;284.5315;361.4427;426.4852;471.7278;554.4577;654.4604;951.0473;1059.8802;1185.6206;1187.078;1269.6129;1453.4806;1575.2183;1646.3316;1702.7602;2243.0781;3735.2284;3959.5364;4410.8025;4555.5172;5190.8306;6168.7399;7056.8478;10053.5348;10218.4265;12016.9764;15141.9445;21772.6299;26891.3369;39336.1615;47859.7831;52254.2694;63895.8463;80435.4516","2.4352;2.2488;2.1919;2.3902;2.386;2.5774;2.5031;2.3501;2.4417;2.3494;2.2995;2.5686;2.3131;2.6789;2.6179;2.5115;2.6434;2.1355;2.8627;2.4145;2.7316;2.1932;2.8176;2.5894;2.1399;2.1079;2.7542;2.1883;2.9158;2.9584;2.8929;2.3747;2.4408;2.5891;2.5383;2.8774;2.582;2.0203;2.5844;2.2033;2.79;2.6923;2.9689;2.8175;2.1896;2.2113;2.1681;2.496;2.5355;2.3743;2.6117;2.1508;2.3781;2.8722;2.0904;2.9617;2.2445;2.0893;2.9368;2.0281;2.6396;2.0963","D;N;D;N;N;N;C;C;C;N;N;C;C;D;C;D;N;C;C;C;N;C;D;D;C;C;C;N;C;N;D;N;C;N;D;D;D;N;C;C"
23,15,20,1,60,20,2,"1.504;1.8085;2.0636;2.4705;2.5889;4.7518;4.93;6.904;7.0345;16.9144;18.4796;27.4929;95.798;128.8401;153.7153;299.0444;480.3108;612.6856;780.5369;792.5449;103.5914;113.218;142.4346;163.0777;297.1249;306.6976;343.1505;372.0497;401.5635;425.2127;471.7812;496.8627;505.8231;813.4707;1093.1261;1106.639;1123.9089;1983.564;2326.3133;2328.1887;2730.8587;2800.9764;2836.1566;3064.6896;3354.0475;3624.7377;3829.2762;4730.0246;4841.3464;7103.3941;10040.7235;10150.1356;24994.6089;38735.535;44308.7185;63063.8497;63819.6079;91864.9058;98191.2637;98505.8675","2.573;2.3659;2.4689;2.0916;2.3087;2.0204;2.4779;2.7724;2.7171;2.9815;2.682;2.5863;2.5592;2.6833;2.1696;2.6736;2.9646;2.3652;2.944;2.005;2.3866;2.5177;2.761;2.6133;2.561;2.4592;2.8234;2.9514;2.9412;2.1818;2.3487;2.5919;2.1832;2.4399;2.9731;2.8719;2.5952;2.9363;2.9355;2.2371;2.5947;2.0666;2.1127;2.0117;2.6198;2.0997;2.7504;2.8619;2.1754;2.9052;2.3952;2.9626;2.9137;2.6627;2.7788;2.3928;2.2219;2.5412;2.9587;2.6376;2.7448;2.287","D;N;N;N;D;D;D;N;C;C;C;N;C;D;N;D;C;D;N;N;N;N;C;D;D;N;D;D;C;C;C;D;N;D;C;N;N;D;D;D"
24,15,20,1,60,20,2,"1.0183;1.8107;6.7295;10.1608;12.5407;12.8534;16.6078;25.7975;28.9261;33.2119;42.1813;54.5029;73.5303;90.6416;129.8307;236.0798;355.1966;502.0757;960.7225;991.1316;122.9706;129.0076;139.0835;141.4039;148.7489;180.1825;181.5127;188.5279;238.4141;338.3999;432.9725;607.8795;724.8292;738.1796;912.4623;912.7007;919.0245;944.2107;1069.1457;1075.6361;2109.648;2335.1651;3288.0585;3670.1304;3931.1401;4734.1061;5349.7611;7314.8798;7562.9319;9446.9579;10926.968;14632.117;15880.6889;21573.005;48793.3237;59373.5145;64202.5399;80652.3442;85802.1166;95190.2222","2.1782;2.539;2.8042;2.4691;2.9975;2.2376;2.7971;2.144;2.6861;2.3874;2.1163;2.1122;2.6105;2.6786;2.4136;2.325;2.2296;2.1845;2.7189;2.9616;2.4085;2.461;2.1413;2.5942;2.6979;2.8513;2.8873;2.1076;2.6784;2.1805;2.7143;2.4859;2.7661;2.3034;2.9186;2.1388;2.2547;2.7349;2.7561;2.5119;2.9178;2.7402;2.2644;2.697;2.2331;2.0168;2.154;2.8935;2.4521;2.4787;2.2696;2.3282;2.0452;2.6828;2.4657;2.1121;2.0889;2.2444;2.0464;2.0872;2.3859;2.6038","N;D;D;C;C;N;C;D;D;D;D;C;C;D;D;D;D;D;C;N;N;N;N;N;N;C;C;D;C;N;N;C;C;N;D;C;D;N;N;C"
25,15,20,1,60,20,2,"1.3002;2.9203;3.8666;7.0441;7.406;9.042;9.6596;10.7457;22.2711;23.1986;30.7153;41.7792;55.7081;70.612;75.1543;474.897;655.5479;859.5561;874.8468;936.7282;103.3953;123.4707;161.0941;162.5847;214.5577;378.1116;601.9631;723.4241;785.5503;857.7608;860.0827;877.9163;1093.7769;1295.6934;1312.8085;1628.777;2086.2052;2149.5169;2176.2395;2192.9166;2243.4992;2496.6942;2594.6753;2831.1946;3061.954;3164.9642;4101.5041;4306.701;7557.1918;15609.4392;17130.7081;18578.8189;21269.7923;29258.5867;31860.9275;33775.2813;39810.2432;46133.8027;60266.2252;91850.6282","2.6266;2.8116;2.5523;2.7868;2.7696;2.7565;2.175;2.5833;2.0652;2.1435;2.4498;2.6204;2.8359;2.0124;2.8844;2.7259;2.7191;2.2816;2.939;2.1103;2.9156;2.6265;2.2576;2.2717;2.1201;2.5182;2.487;2.8192;2.9022;2.7711;2.2127;2.3172;2.526;2.8345;2.5425;2.2906;2.3206;2.6829;2.0555;2.0117;2.341;2.0342;2.0927;2.065;2.3582;2.3602;2.7574;2.886;2.6128;2.7097;2.4773;2.3818;2.583;2.0847;2.807;2.9789;2.6037;2.9931;2.4734;2.0752;2.6953;2.6859","N;D;C;N;D;C;C;N;C;D;D;D;N;N;D;D;C;N;C;D;D;C;N;C;D;D;D;C;D;C;C;C;D;C;N;D;D;D;N;N"
26,15,20,1,60,20,2,"1.4073;3.8384;12.4264;16.4271;17.1204;20.7098;22.0626;22.9003;24.2151;36.5142;60.1922;87.6812;95.5277;119.3548;139.557;300.2201;350.7478;520.2844;719.5669;903.7958;100.0313;107.0302;159.3555;175.8093;265.2323;377.6318;413.3498;612.2517;713.3487;717.6032;759.3196;855.0945;1071.9187;2022.2114;2045.8739;2126.2445;4004.1212;4167.9537;4570.5326;4837.7812;5586.8047;6422.4905;6873.8161;7785.8517;8643.7558;9609.5402;12661.0908;14148.1737;14825.882;15157.8222;15265.7868;19532.8353;23026.3867;25311.6231;34711.0654;37362.2496;37970.8769;53716.1175;59185.3187;98362.0942","2.4576;2.4466;2.942;2.4556;2.6057;2.3025;2.8446;2.6756;2.4089;2.7623;2.1403;2.0752;2.5435;2.522;2.4338;2.0936;2.3259;2.6359;2.7815;2.6069;2.6949;2.9248;2.1876;2.8597;2.913;2.5779;2.7346;2.5165;2.9139;2.9734;2.9442;2.918;2.9796;2.9189;2.9562;2.5776;2.0757;2.3786;2.5974;2.9725;2.1572;2.5656;2.2473;2.3262;2.2577;2.2397;2.953;2.4954;2.2351;2.703;2.4017;2.2854;2.6481;2.8712;2.4092;2.8786;2.0012;2.0048;2.4061;2.2983;2.7521;2.8894","C;D;C;N;N;N;D;C;C;D;C;N;C;D;N;D;C;D;N;D;D;N;D;D;C;D;D;N;C;C;C;N;N;C;D;D;C;C;N;N"
27,15,20,1,60,20,2,"1.6576;2.0509;3.1534;5.7442;9.8795;17.2631;18.4507;24.5367;29.1254;30.0145;35.3716;58.857;69.0065;75.3111;143.8349;191.1009;360.5935;597.7194;731.4575;824.9208;109.7455;142.3085;160.7599;163.5786;175.6529;188.0772;220.3738;247.6308;356.9143;432.3136;501.8038;702.4383;715.2489;847.5104;876.6079;988.5667;1025.4417;1048.5339;1248.2408;1380.3095;1476.9851;1659.0529;2487.7111;3389.4336;3540.3095;3756.9554;5299.0244;6465.1481;6645.9395;6723.9877;6776.714;8271.1074;9034.0339;12890.8013;13871.0034;18586.7913;24014.2878;55001.5704;56696.5451;62608.6225","2.7972;2.8857;2.1219;2.4105;2.7595;2.4903;2.1473;2.2026;2.6079;2.4388;2.7278;2.9048;2.6004;2.9495;2.5656;2.7452;2.0671;2.0057;2.2864;2.721;2.0364;2.2729;2.3297;2.7052;2.7182;2.6131;2.6458;2.3091;2.9759;2.6344;2.9846;2.7696;2.7439;2.5291;2.2969;2.6468;2.4377;2.2757;2.451;2.0826;2.4119;2.231;2.7396;2.2386;2.8313;2.6177;2.8007;2.4656;2.533;2.6121;2.7222;2.8714;2.4522;2.5102;2.4915;2.0387;2.1305;2.4633;2.1205;2.5078;2.5571;2.9781","D;C;D;D;D;C;N;D;N;C;C;C;N;N;N;N;N;C;N;N;N;N;D;D;N;N;N;D;D;D;D;D;N;C;C;C;C;N;C;N"
28,15,20,1,60,20,2,"1.2102;1.2401;1.5881;3.1201;3.4715;7.1685;9.151;11.6324;12.5149;34.3453;37.8479;46.4803;56.15;91.7809;198.521;207.0475;211.7147;315.3063;601.2989;702.4166;112.0183;171.797;209.535;236.4264;250.9115;324.4831;343.5733;363.3436;368.0479;501.5908;888.0416;1148.5109;1416.7727;1979.3469;2037.8585;2373.66;2632.5608;3309.6233;3573.9168;3958.875;4063.3101;4168.4096;5652.1707;5906.7153;7412.9268;8802.7119;9281.3205;10454.4882;13776.8766;30611.52;34161.022;35411.2836;58980.79;60145.4617;61125.4563;62244.9856;64775.7639;78982.8669;80152.4257;93967.1625","2.9226;2.8443;2.3901;2.7653;2.1292;2.3153;2.9874;2.1488;2.6425;2.7125;2.933;2.2547;2.3913;2.8754;2.5528;2.4771;2.7759;2.2501;2.2142;2.6556;2.197;2.6396;2.5174;2.267;2.5897;2.9255;2.1182;2.2996;2.6574;2.2117;2.5199;2.0105;2.24;2.3709;2.0896;2.5551;2.921;2.6721;2.1149;2.2242;2.9524;2.2597;2.8667;2.5915;2.4564;2.3809;2.3218;2.9331;2.5347;2.1899;2.2915;2.1935;2.9191;2.9532;2.0343;2.1914;2.0571;2.5931;2.9858;2.5111;2.9717;2.8205","N;N;D;C;N;D;N;N;C;D;D;N;D;N;D;C;D;D;C;D;D;D;C;N;C;N;N;C;C;N;C;C;D;C;C;D;N;N;C;C"
29,15,20,1,60,20,2,"1.2255;1.2955;1.6669;3.0867;4.8926;5.1053;6.3531;8.701;27.1452;27.9748;29.6538;31.6595;42.0592;109.1831;146.4898;219.056;252.2742;521.6699;885.171;950.8856;122.5724;124.5146;134.6792;148.7178;173.3514;285.9476;310.6863;358.5143;365.8412;372.2353;560.1334;599.1197;693.3516;696.3101;863.6842;943.8001;1011.6473;1168.8243;1172.8184;1560.9591;1733.1892;2161.3338;2624.192;2941.7293;3394.1361;3450.3229;4150.6343;4630.3542;5312.0163;5739.1356;11862.2109;18818.0512;21824.2716;22538.2109;33178.0842;34172.7023;34532.4682;43094.3687;62112.7582;83333.7501","2.2589;2.8961;2.3607;2.3002;2.4398;2.7808;2.1212;2.9258;2.6108;2.6423;2.9434;2.7273;2.3351;2.4034;2.1085;2.3742;2.2381;2.1028;2.2808;2.4533;2.3042;2.924;2.3015;2.2808;2.8684;2.7501;2.2853;2.9147;2.2514;2.3318;2.6942;2.4375;2.7864;2.388;2.8883;2.3293;2.6004;2.5289;2.0428;2.3757;2.5431;2.3488;2.1227;2.0076;2.9923;2.0764;2.4325;2.4501;2.3992;2.8183;2.3657;2.2837;2.4527;2.4273;2.7922;2.7017;2.7419;2.2111;2.5778;2.1659;2.4903;2.9008","D;D;N;D;N;N;C;D;C;C;D;N;D;C;D;C;C;D;C;N;N;C;N;D;D;D;C;C;N;C;N;D;D;D;N;C;N;D;C;N"
